论文名,简称,模态,LLM角色,会议/年份,arXiv链接,负责人,状态,一句话贡献,精读笔记链接,入库PR号,
Large Language Models for Anomaly and Out-of-Distribution Detection: A Survey,Xu&Ding Survey,综述,综述,NAACL Findings 2025,https://arxiv.org/abs/2409.01980,,待读,"提出 LLM 用于 AD/OOD 的""提示式 vs 对比式""两类范式，并重新定义 LLM 场景下的 AD 与 OOD"，
Large Language Models for Forecasting and Anomaly Detection: A Systematic Literature Review,Jin Survey,综述,综述,arXiv 2024,https://arxiv.org/abs/2402.10350,,待读,面向预测与异常检测的 LLM 系统文献综述，
Generalized Out-of-Distribution Detection and Beyond in Vision Language Model Era: A Survey,Miyai Survey,综述,综述,TMLR 2025,https://arxiv.org/abs/2407.21794,,待读,VLM 时代统一 OOD/AD/开放集等概念，提出 Generalized OOD Detection v2，
"A Survey on RGB, 3D, and Multimodal Approaches for Unsupervised Industrial Anomaly Detection",Zhang Industrial Survey,综述,综述,arXiv 2024,https://arxiv.org/abs/2410.21982,,待读,工业无监督异常检测全面综述，含大模型/提示方法路线，
Video anomaly detection in 10 years: a survey and outlook,VAD10 Survey,综述,综述,Neural Computing and Applications 2025,https://link.springer.com/article/10.1007/s00521-025-11659-8,,待读,十年视频异常检测综述，覆盖 VLM/MLLM 时代，
AIOps for log anomaly detection in the era of LLMs: A systematic literature review,AIOps Log Survey,综述,综述,期刊 2025,https://doaj.org/article/621929d04ef04d00b9eeaec97d704916,,待读,LLM 时代日志异常检测的系统文献综述，
Deep Learning for Anomaly Detection: A Review,Pang Review,综述,背景,ACM Computing Surveys 2021,https://dl.acm.org/doi/10.1145/3439950,,待读,深度异常检测经典综述（背景），
A Unifying Review of Deep and Shallow Anomaly Detection,Ruff Review,综述,背景,Proceedings of the IEEE 2021,https://doi.org/10.1109/JPROC.2021.3052449,,待读,统一视角的深度/浅层异常检测综述（背景），
Learning Transferable Visual Models From Natural Language Supervision,CLIP,基础模型,特征提取器/底座,ICML 2021,https://arxiv.org/abs/2103.00020,,待读,对比式图文预训练，零样本异常检测的基石，
Visual Instruction Tuning,LLaVA,基础模型,多模态代理/底座,NeurIPS 2023,https://arxiv.org/abs/2304.08485,,待读,指令微调 MLLM 的代表，异常理解类方法的常用底座，
GPT-4V(ision) System Card,GPT-4V,基础模型,多模态代理/底座,2023,https://cdn.openai.com/papers/GPTV_System_Card.pdf,,待读,商用多模态大模型能力与局限的官方说明，
Gemini: A Family of Highly Capable Multimodal Models,Gemini,基础模型,多模态代理/底座,2023,https://storage.googleapis.com/deepmind-media/gemini/gemini_1_report.pdf,,待读,多模态大模型能力参考，
Detecting Industrial Anomalies using Large Vision-Language Models,AnomalyGPT,工业图像,多模态代理,AAAI 2024,https://arxiv.org/abs/2308.15366,,待读,工业图像级/像素级异常判断 + 自然语言解释的 MLLM 方法，
Myriad: Large Multimodal Model by Applying Vision Experts for Industrial Anomaly Detection,Myriad,工业图像,数据与知识生成器/多模态代理,arXiv 2023,https://arxiv.org/abs/2310.19070,,待读,用视觉专家生成的异常图引导 LMM 进行检测与描述，
WinCLIP: Zero-/Few-Shot Anomaly Classification and Segmentation,WinCLIP,工业图像,特征提取器/检测推理器,CVPR 2023,https://arxiv.org/abs/2303.14814,,待读,窗口式 CLIP + 组合提示的零/少样本工业异常检测，
APRIL-GAN: A Zero-/Few-Shot Anomaly Classification and Segmentation Method for CVPR 2023 VAND Challenge,APRIL-GAN,工业图像,特征提取器,CVPR 2023 VAND 挑战赛,https://arxiv.org/abs/2305.17382,,待读,CLIP 图文对齐 + 记忆库的零/少样本检测分割，
AnomalyCLIP: Object-agnostic Prompt Learning for Zero-shot Anomaly Detection,AnomalyCLIP,工业图像,特征提取器/检测推理器,ICLR 2024,https://arxiv.org/abs/2310.18961,,待读,学习对象无关的正常/异常提示，跨域零样本检测，
PromptAD: Learning Prompts with only Normal Samples for Few-Shot Anomaly Detection,PromptAD,工业图像,特征提取器,CVPR 2024,https://arxiv.org/abs/2404.05231,,待读,仅用正常样本学习一分类提示的少样本方法，
AnomalyR1: A GRPO-based End-to-end MLLM for Industrial Anomaly Detection,AnomalyR1,工业图像,训练优化器/对齐器,arXiv 2025,https://arxiv.org/abs/2504.11914,,待读,GRPO + ROAM 对齐的端到端 MLLM 工业异常检测，代表 RL 方向，
MMAD: The First-Ever Comprehensive Benchmark for Multimodal Large Language Models in Industrial Anomaly Detection,MMAD,工业图像,评测基准,arXiv 2024,https://arxiv.org/abs/2410.09453,,待读,首个面向工业异常检测的 MLLM 全频谱评测基准，
Towards Total Recall in Industrial Anomaly Detection,PatchCore,工业图像,背景基线（非 LLM）,CVPR 2022,https://arxiv.org/abs/2106.08265,,待读,经典无监督基线（非 LLM），用作对比，
Adapting Vision-Language Models for Weakly Supervised Video Anomaly Detection,VadCLIP,视频,特征提取器,AAAI 2024,https://arxiv.org/abs/2308.11681,,待读,冻结 CLIP 的弱监督视频异常检测双分支方法，
Video Anomaly Detection and Explanation via Large Language Models,VAD-LLaMA,视频,检测推理器/多模态代理,arXiv 2024,https://arxiv.org/abs/2401.05702,,待读,将视频 LLM 引入 VAD 的早期工作，无阈值且可解释，
Holmes-VAU: Towards Long-term Video Anomaly Understanding at Any Granularity,Holmes-VAU,视频,多模态代理,arXiv 2024,https://arxiv.org/abs/2412.06171,,待读,长视频任意粒度异常理解 + HIVAU-70k 基准，
ALARM: Automated MLLM-Based Anomaly Detection in Complex-EnviRonment Monitoring with Uncertainty Quantification,ALARM,视频,多模态代理/训练优化器,arXiv 2025,https://arxiv.org/abs/2512.03101,,待读,MLLM 视频异常检测 + 不确定性量化与自反思，
